127.0.0.1 - - [27/Apr/2016:09:21:56 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:28:29 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:28:30 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:29:00 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:30:40 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:33:24 -0300] "GET /Restful-API-TAG/TagService/getStudents? HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:33:42 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:34:00 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:34:21 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:34:34 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:34:49 -0300] "GET /Restful-API-TAG/api/TagService/getStudents/? HTTP/1.1" 200 8702229
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:36:03 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:36:05 -0300] "POST /Restful-API-TAG/api/TagService/getStudents/ HTTP/1.1" 405 1013
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:36:36 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:36:38 -0300] "POST /Restful-API-TAG/api/TagService/getStudents/ HTTP/1.1" 500 3536
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:36:52 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:37:08 -0300] "POST /Restful-API-TAG/api/TagService/getStudents/ HTTP/1.1" 200 8702229
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:46:21 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:48:20 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:49:25 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:52:16 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:52:23 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:53:22 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:53:29 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:54:17 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:54:17 -0300] "GET /Restful-API-TAG/styles.css HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:54:44 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:54:44 -0300] "GET /Restful-API-TAG/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:55:02 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:55:02 -0300] "GET /Restful-API-TAG/styles.css HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:55:07 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:55:08 -0300] "GET /Restful-API-TAG/styles.css HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:55:18 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:55:18 -0300] "GET /Restful-API-TAG/styles.css HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [27/Apr/2016:09:55:39 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 728
