127.0.0.1 - - [11/May/2016:09:01:00 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/May/2016:09:02:04 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [11/May/2016:09:02:04 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/May/2016:09:02:42 -0300] "GET /Restful-API-TAG/api/TagService/getSchools HTTP/1.1" 200 49494
0:0:0:0:0:0:0:1 - - [11/May/2016:09:12:36 -0300] "GET /Restful-API-TAG/api/TagService/getSchools HTTP/1.1" 200 50300
0:0:0:0:0:0:0:1 - - [11/May/2016:09:12:43 -0300] "GET /Restful-API-TAG/api/TagService/getSchools/28022041 HTTP/1.1" 200 32005
0:0:0:0:0:0:0:1 - - [11/May/2016:09:13:29 -0300] "GET /Restful-API-TAG/api/TagService/getSchools/28022041 HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [11/May/2016:09:14:33 -0300] "GET /Restful-API-TAG/api/TagService/getSchools/28022041 HTTP/1.1" 200 1929
0:0:0:0:0:0:0:1 - - [11/May/2016:09:25:28 -0300] "GET /Restful-API-TAG/api/TagService/getClassrooms HTTP/1.1" 200 814266
0:0:0:0:0:0:0:1 - - [11/May/2016:09:25:40 -0300] "GET /Restful-API-TAG/api/TagService/getClassrooms HTTP/1.1" 200 814266
0:0:0:0:0:0:0:1 - - [11/May/2016:09:28:51 -0300] "GET /Restful-API-TAG/api/TagService/getClassrooms HTTP/1.1" 200 818507
